LapNumber,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,improve_LapTime,improve_Sector1Time,improve_Sector2Time,improve_Sector3Time,did_pit
1.0,0.05364837897165915,-0.3157189519044428,0.31492510655211453,-0.28959440449699253,1.0,1.0,1.0,1.0,0,0,1,1,0
2.0,1.109216484143765,1.1304775374642952,0.38053450375047154,1.1046519592351352,0.0,1.0,2.0,1.0,0,0,0,0,0
3.0,-2.1792841512001035,-2.2100326633311,-2.998349451964916,-1.1885164021663908,1.0,1.0,3.0,1.0,1,0,1,1,0
4.0,-1.1643148193038477,-0.19350516407046495,0.282120407952936,-0.7298827298860855,1.0,1.0,4.0,1.0,1,1,1,0,0
5.0,1.1295158707816901,1.1304775374642952,,1.1046519592351352,1.0,1.0,5.0,1.0,1,1,0,0,1
6.0,-0.5350338335281691,-0.3971948104604281,0.34772980515129304,-0.45470252651790244,1.0,1.0,1.0,1.0,0,0,1,1,0
7.0,1.1498152574196154,1.1304775374642952,0.282120407952936,1.1229973061263474,0.0,1.0,2.0,1.0,0,0,0,0,0
8.0,-0.2914411938730678,-1.0693706435473063,,0.44421947115149574,1.0,1.0,3.0,1.0,1,1,0,0,1
9.0,-0.047848554217966424,-0.23424309334845758,0.38053450375047154,-0.8583001581245709,1.0,1.0,1.0,1.0,0,0,1,1,0
10.0,1.1498152574196154,1.1304775374642952,0.34772980515129304,1.1229973061263474,0.0,1.0,2.0,1.0,0,0,0,0,0
11.0,-0.21024364732136736,-0.19350516407046495,,0.40752877736907134,1.0,1.0,3.0,1.0,1,1,0,0,1
12.0,-0.9207221796487464,-0.030553446958494466,0.34772980515129304,-1.225207095948815,1.0,1.0,1.0,1.0,0,0,1,1,0
13.0,1.1498152574196154,1.1712154667422878,0.31492510655211453,1.1413426530175597,1.0,1.0,2.0,1.0,1,0,0,1,0
14.0,-0.3929381270626934,-1.04900167890831,,-1.7021861151203326,1.0,1.0,3.0,1.0,0,0,0,0,1
